YEAR,BIG,COAL,WHALE,TRAIL,MORRISON,GRANITE,LODGEPOLE,OLE
1980,20,34,45,31,75,34,14,19
1981,18,23,98,78,32,14,18,19
1982,41,60,211,94,86,34,23,51
1983,22,61,141,56,67,31,23,35
1984,9,53,133,32,38,47,23,26
1985,9,40,94,25,99,24,20,30
1986,12,13,90,69,52,37,42,36
1987,22,48,143,64,49,34,21,45
1988,19,52,136,62,50,32,19,59
1989,24,50,119,51,63,31,43,21
1990,25,29,109,65,24,21,12,20
1991,24,34,61,27,45,20,9,23
1992,16,7,12,26,17,16,13,16
1993,2,10,46,13,14,9,9,19
1994,11,6,32,15,21,18,6,6
1995,14,13,28,28,28,25,9,16
1996,6,3,35,8,9,4,8,10
1997,13,5,17,9,39,12,5,14
1998,30,14,40,17,35,22,7,22
1999,34,7,49,21,30,37,11,26
2000,32,3,68,42,44,26,3,33
2001,22,0,77,27,40,18,17,29
2002,12,0,71,26,30,18,12,21
2003,12,1,34,14,21,17,10,21
2004,11,3,41,34,10,17,6,14
2005,15,4,39,30,16,8,16,16
2006,37,17,56,34,11,16,19,31
2007,40,4,27,51,21,14,17,29
2008,21,0,34,49,46,27,4,42
2009,23,2,43,19,34,24,10,34
2010,8,4,31,11,43,41,20,32
2011,9,6,41,8,39,33,12,40
