"Year","N","V.e"
1966,19,12.3640906132704
1967,12,4.93193642191396
1968,12,4.93193642191396
1969,23,18.1180164388367
1970,16,8.76788697229149
1971,22,16.5767863069886
1972,24,19.7277456876559
1973,20,13.6998233942055
1974,24,19.7277456876559
1975,28,26.8516538526427
1976,29,28.803878686317
1977,28,26.8516538526427
1978,23,18.1180164388367
1979,35,41.9557091447542
1980,27,24.9679281359394
1981,29,28.803878686317
1982,27,24.9679281359394
1983,35,41.9557091447542
1984,37,46.8876455666682
1985,35,41.9557091447542
1986,38,49.4563624530817
1987,47,75.6572746944996
1988,32,35.071547889166
1989,33,37.2977691907244
1990,32,35.071547889166
1991,34,39.5924896092538
1992,32,35.071547889166
1993,31,32.9138257045786
1994,32,35.071547889166
1995,33,37.2977691907244
1996,31,32.9138257045786
1997,36,44.3874277972257
1998,45,69.3553559331651
1999,17,9.89812240231344
2000,27,24.9679281359394
2001,17,9.89812240231344
2002,19,12.3640906132704
2003,18,11.0968569493064
2004,24,19.7277456876559
2005,20,13.6998233942055
2006,17,9.89812240231344
2007,16,8.76788697229149
2008,21,15.1040552921115
2009,20,13.6998233942055
2010,27,24.9679281359394
2011,19,12.3640906132704
